epoch,avg_loss,accuracy
1,2.06781391,0.250000
2,1.99861570,0.333333
3,1.96869918,0.333333
4,1.95672517,0.333333
5,1.95193144,0.333333
6,1.94992599,0.333333
7,1.94904218,0.333333
8,1.94863802,0.333333
9,1.94845086,0.333333
10,1.94836556,0.333333
11,1.94832879,0.333333
12,1.94831505,0.333333
13,1.94831194,0.333333
14,1.94831343,0.333333
15,1.94831666,0.333333
16,1.94832029,0.333333
17,1.94832374,0.333333
18,1.94832679,0.333333
19,1.94832939,0.333333
20,1.94833156,0.333333
21,1.94833336,0.333333
22,1.94833483,0.333333
23,1.94833604,0.333333
24,1.94833703,0.333333
25,1.94833783,0.333333
26,1.94833849,0.333333
27,1.94833903,0.333333
28,1.94833946,0.333333
29,1.94833982,0.333333
30,1.94834011,0.333333
31,1.94834035,0.333333
32,1.94834054,0.333333
33,1.94834070,0.333333
34,1.94834083,0.333333
35,1.94834093,0.333333
36,1.94834102,0.333333
37,1.94834109,0.333333
38,1.94834115,0.333333
39,1.94834119,0.333333
40,1.94834123,0.333333
41,1.94834126,0.333333
42,1.94834129,0.333333
43,1.94834131,0.333333
44,1.94834133,0.333333
45,1.94834134,0.333333
46,1.94834135,0.333333
47,1.94834136,0.333333
48,1.94834137,0.333333
49,1.94834138,0.333333
50,1.94834138,0.333333
